PID,RT,modality,stim
302,1207,Audio-only,hall
302,828,Audio-only,balk
302,848,Audio-only,seen
302,982,Audio-only,birth
302,864,Audio-only,face
302,1139,Audio-only,mole
302,1168,Audio-only,vile
302,1218,Audio-only,mitt
302,1342,Audio-only,dove
302,610,Audio-only,choke
302,1190,Audio-only,tone
302,890,Audio-only,guide
302,1012,Audio-only,fawn
302,969,Audio-only,bar
302,1003,Audio-only,gore
303,485,Audio-only,dig
303,806,Audio-only,wren
303,562,Audio-only,hug
303,816,Audio-only,sail
303,768,Audio-only,had
303,1402,Audio-only,ridge
303,721,Audio-only,goose
303,776,Audio-only,vine
303,950,Audio-only,cub
303,1138,Audio-only,hone
303,1191,Audio-only,zing
303,916,Audio-only,batch
303,798,Audio-only,sang
303,761,Audio-only,same
303,725,Audio-only,cope
303,622,Audio-only,goon
303,1295,Audio-only,mitt
303,1113,Audio-only,nose
303,792,Audio-only,weed
303,1062,Audio-only,wife
303,647,Audio-only,dawn
303,910,Audio-only,dash
303,881,Audio-only,night
303,931,Audio-only,wave
303,709,Audio-only,whale
303,783,Audio-only,face
303,704,Audio-only,yen
303,1090,Audio-only,wrote
303,766,Audio-only,boat
303,889,Audio-only,line
303,545,Audio-only,gel
303,515,Audio-only,none
303,529,Audio-only,birth
303,564,Audio-only,bake
303,606,Audio-only,bush
303,499,Audio-only,notch
303,626,Audio-only,ping
303,811,Audio-only,rut
303,813,Audio-only,dime
303,758,Audio-only,leave
303,620,Audio-only,ref
303,974,Audio-only,rag
303,913,Audio-only,than
303,789,Audio-only,hall
303,965,Audio-only,game
303,1028,Audio-only,talk
303,711,Audio-only,gain
303,675,Audio-only,balk
303,741,Audio-only,choke
303,1003,Audio-only,duke
303,874,Audio-only,pin
303,631,Audio-only,guile
303,776,Audio-only,hair
303,1041,Audio-only,shore
303,1136,Audio-only,pod
303,612,Audio-only,fate
303,510,Audio-only,tone
303,728,Audio-only,hose
303,464,Audio-only,mob
303,524,Audio-only,bar
303,1263,Audio-only,pouch
303,741,Audio-only,height
303,909,Audio-only,womb
303,789,Audio-only,fake
303,734,Audio-only,fawn
303,617,Audio-only,tout
303,532,Audio-only,bathe
303,638,Audio-only,name
303,1095,Audio-only,lab
303,709,Audio-only,theme
303,1073,Audio-only,tub
303,783,Audio-only,ship
303,874,Audio-only,chalk
303,989,Audio-only,vogue
303,848,Audio-only,lobe
303,769,Audio-only,hem
303,618,Audio-only,mat
303,825,Audio-only,sap
303,662,Audio-only,lawn
303,905,Audio-only,neck
303,1005,Audio-only,toll
303,927,Audio-only,nod
303,889,Audio-only,lace
303,724,Audio-only,heed
303,776,Audio-only,raid
303,878,Audio-only,bomb
303,765,Audio-only,wort
303,901,Audio-only,dove
303,643,Audio-only,core
303,938,Audio-only,sack
303,440,Audio-only,well
303,1289,Audio-only,wet
303,667,Audio-only,gore
303,1097,Audio-only,touch
303,882,Audio-only,seen
303,781,Audio-only,such
303,835,Audio-only,tech
303,1248,Audio-only,tease
303,918,Audio-only,like
303,849,Audio-only,rang
303,576,Audio-only,sane
303,846,Audio-only,wool
303,751,Audio-only,bath
303,1072,Audio-only,peat
303,685,Audio-only,latch
303,975,Audio-only,ram
303,1163,Audio-only,died
303,967,Audio-only,fog
303,1014,Audio-only,shout
303,639,Audio-only,foil
303,1170,Audio-only,toad
303,554,Audio-only,door
303,1047,Audio-only,shot
303,618,Audio-only,mope
303,1179,Audio-only,call
303,621,Audio-only,nash
303,1031,Audio-only,taught
303,450,Audio-only,zeal
303,1313,Audio-only,rouge
303,1028,Audio-only,sheet
303,941,Audio-only,choose
303,871,Audio-only,muff
303,624,Audio-only,shoot
303,1157,Audio-only,time
303,1016,Audio-only,chef
303,888,Audio-only,some
303,587,Audio-only,null
303,985,Audio-only,meal
303,936,Audio-only,root
303,833,Audio-only,soil
303,705,Audio-only,hung
303,1006,Audio-only,fill
303,772,Audio-only,foal
303,603,Audio-only,hire
303,613,Audio-only,phone
303,876,Audio-only,tin
303,850,Audio-only,did
303,1062,Audio-only,sub
303,1158,Audio-only,rove
303,831,Audio-only,wire
303,779,Audio-only,dab
303,831,Audio-only,life
303,1325,Audio-only,bane
303,922,Audio-only,lodge
303,1075,Audio-only,gear
303,1304,Audio-only,back
303,987,Audio-only,rot
303,773,Audio-only,nab
303,978,Audio-only,less
303,1172,Audio-only,rate
303,824,Audio-only,fit
303,825,Audio-only,mop
303,761,Audio-only,log
303,1256,Audio-only,pun
303,1157,Audio-only,kill
303,839,Audio-only,jock
303,812,Audio-only,five
303,1128,Audio-only,whole
303,919,Audio-only,gum
303,802,Audio-only,pipe
303,880,Audio-only,red
303,1010,Audio-only,pooch
303,1178,Audio-only,league
303,1110,Audio-only,hull
303,1000,Audio-only,shine
303,657,Audio-only,hook
303,1058,Audio-only,huff
303,1243,Audio-only,sewed
303,1400,Audio-only,walk
303,848,Audio-only,dot
303,1068,Audio-only,sheep
303,866,Audio-only,wade
303,1044,Audio-only,week
303,1140,Audio-only,hog
303,1057,Audio-only,soothe
303,1079,Audio-only,jazz
303,870,Audio-only,jog
303,875,Audio-only,sieve
303,968,Audio-only,rap
303,1124,Audio-only,beam
303,1095,Audio-only,loose
303,759,Audio-only,bad
303,1031,Audio-only,gone
303,993,Audio-only,fin
303,1055,Audio-only,mouth
303,1427,Audio-only,teethe
303,1042,Audio-only,gong
303,682,Audio-only,wove
303,1305,Audio-only,tube
303,805,Audio-only,known
303,878,Audio-only,rail
303,931,Audio-only,wrong
303,1161,Audio-only,thus
303,926,Audio-only,shell
303,1202,Audio-only,fizz
303,940,Audio-only,newt
304,1620,Audio-only,does
304,1174,Audio-only,leave
304,1293,Audio-only,mass
304,1058,Audio-only,rag
304,1501,Audio-only,ship
304,1389,Audio-only,gel
304,1183,Audio-only,sack
304,1520,Audio-only,wren
304,1537,Audio-only,rut
304,1187,Audio-only,cub
304,1137,Audio-only,ref
304,1689,Audio-only,same
304,1163,Audio-only,dig
304,889,Audio-only,mob
304,1187,Audio-only,dime
304,1322,Audio-only,lobe
304,1299,Audio-only,core
304,1079,Audio-only,pouch
304,1270,Audio-only,pod
304,1420,Audio-only,batch
304,1301,Audio-only,talk
304,1488,Audio-only,kite
304,1500,Audio-only,pin
304,1418,Audio-only,balk
304,1059,Audio-only,height
304,1350,Audio-only,hoof
304,1367,Audio-only,peat
304,1158,Audio-only,birth
304,1315,Audio-only,sang
304,1442,Audio-only,hone
304,1040,Audio-only,bath
304,1194,Audio-only,hair
304,1473,Audio-only,rear
304,923,Audio-only,like
304,1800,Audio-only,tub
304,1220,Audio-only,heed
304,1120,Audio-only,fate
304,1287,Audio-only,kneel
304,991,Audio-only,neck
304,1459,Audio-only,night
304,1916,Audio-only,had
304,1217,Audio-only,hose
304,1628,Audio-only,weed
304,1240,Audio-only,rang
304,1267,Audio-only,zing
304,1223,Audio-only,lamb
304,1187,Audio-only,hem
304,1751,Audio-only,choke
304,1132,Audio-only,beak
304,1056,Audio-only,sock
304,1358,Audio-only,name
304,832,Audio-only,ping
304,1268,Audio-only,bash
304,1633,Audio-only,game
304,905,Audio-only,shear
304,1456,Audio-only,cheek
304,1388,Audio-only,cope
304,1474,Audio-only,sane
304,1474,Audio-only,botch
304,1423,Audio-only,bush
304,1150,Audio-only,gore
304,1273,Audio-only,toll
304,1698,Audio-only,hug
304,1635,Audio-only,dove
304,1437,Audio-only,womb
304,1185,Audio-only,mall
304,1631,Audio-only,tight
304,1321,Audio-only,dash
304,1263,Audio-only,lab
304,1745,Audio-only,nod
304,1367,Audio-only,chirp
304,1703,Audio-only,than
304,1439,Audio-only,side
304,1305,Audio-only,ridge
304,808,Audio-only,bake
304,1518,Audio-only,bathe
304,1226,Audio-only,dawn
304,1134,Audio-only,guide
304,891,Audio-only,gain
304,1361,Audio-only,leak
304,1596,Audio-only,goon
304,1404,Audio-only,seen
304,1156,Audio-only,hall
304,1667,Audio-only,chalk
304,1035,Audio-only,fake
304,991,Audio-only,wife
304,903,Audio-only,notch
304,1532,Audio-only,fawn
304,925,Audio-only,lace
304,1305,Audio-only,wort
304,1073,Audio-only,duke
304,923,Audio-only,shore
304,1685,Audio-only,vine
304,1122,Audio-only,boat
304,1189,Audio-only,bar
304,1455,Audio-only,mum
304,1167,Audio-only,goose
304,1229,Audio-only,bin
304,1238,Audio-only,tout
304,1617,Audio-only,whale
304,1525,Audio-only,mole
304,1502,Audio-only,doze
304,1626,Audio-only,none
304,1153,Audio-only,niece
304,1112,Audio-only,tech
304,799,Audio-only,latch
304,1534,Audio-only,mat
304,1279,Audio-only,bomb
304,1044,Audio-only,such
304,1585,Audio-only,gave
304,936,Audio-only,cot
304,1006,Audio-only,jeer
304,925,Audio-only,curl
304,896,Audio-only,jam
304,991,Audio-only,moon
304,1324,Audio-only,kale
304,679,Audio-only,cash
304,1792,Audio-only,folk
304,963,Audio-only,teach
304,1245,Audio-only,gang
304,1653,Audio-only,sob
304,1079,Audio-only,pile
304,679,Audio-only,peep
304,1770,Audio-only,chase
304,1664,Audio-only,jowl
304,1083,Audio-only,days
304,1140,Audio-only,hike
304,1196,Audio-only,writhe
304,1345,Audio-only,vague
304,1580,Audio-only,weep
304,820,Audio-only,cell
304,1555,Audio-only,sit
304,1182,Audio-only,rake
304,910,Audio-only,cite
304,1114,Audio-only,shim
304,1437,Audio-only,cuff
304,1199,Audio-only,hive
304,776,Audio-only,yolk
304,909,Audio-only,rule
304,1224,Audio-only,hip
304,1668,Audio-only,lied
304,1125,Audio-only,judge
304,1645,Audio-only,wed
304,1108,Audio-only,yawn
304,578,Audio-only,tag
304,1709,Audio-only,myth
304,684,Audio-only,room
304,1214,Audio-only,take
304,1209,Audio-only,dire
304,993,Audio-only,right
304,1191,Audio-only,leaf
304,976,Audio-only,shut
304,650,Audio-only,calm
304,1027,Audio-only,dodge
304,1524,Audio-only,hitch
304,1094,Audio-only,wick
304,975,Audio-only,won
304,905,Audio-only,goal
304,1112,Audio-only,roach
304,1159,Audio-only,rib
304,756,Audio-only,top
304,1385,Audio-only,sown
304,1166,Audio-only,need
304,1510,Audio-only,thine
304,884,Audio-only,gig
304,1250,Audio-only,booze
304,1368,Audio-only,will
304,779,Audio-only,wipe
304,1629,Audio-only,nerve
304,1041,Audio-only,gag
304,1254,Audio-only,cage
304,1056,Audio-only,late
304,1139,Audio-only,job
304,1234,Audio-only,hiss
304,1398,Audio-only,fudge
304,1030,Audio-only,shown
304,1443,Audio-only,tip
304,1106,Audio-only,half
304,862,Audio-only,pour
304,880,Audio-only,peace
304,775,Audio-only,toil
304,1426,Audio-only,babe
304,1269,Audio-only,sheath
304,1415,Audio-only,cheat
304,722,Audio-only,rose
304,1099,Audio-only,roof
304,914,Audio-only,doubt
304,1230,Audio-only,beat
304,1625,Audio-only,budge
304,1229,Audio-only,bear
304,1110,Audio-only,juke
304,1085,Audio-only,young
304,905,Audio-only,rook
304,1603,Audio-only,chin
304,1289,Audio-only,gal
304,1072,Audio-only,shun
304,1316,Audio-only,pen
304,1097,Audio-only,cab
304,1259,Audio-only,luge
304,807,Audio-only,sod
304,1355,Audio-only,lop
304,739,Audio-only,vice
304,1207,Audio-only,sip
304,1407,Audio-only,lad
304,1274,Audio-only,van
304,900,Audio-only,pool
304,1295,Audio-only,deck
306,810,Audio-only,moon
306,737,Audio-only,vice
306,1336,Audio-only,bear
306,894,Audio-only,cell
306,577,Audio-only,cab
306,759,Audio-only,cheat
306,998,Audio-only,vague
306,850,Audio-only,weep
306,759,Audio-only,shun
306,1081,Audio-only,rook
306,672,Audio-only,pour
306,854,Audio-only,cash
306,1014,Audio-only,shim
306,1174,Audio-only,shed
306,1296,Audio-only,hitch
306,693,Audio-only,yawn
306,1593,Audio-only,sheath
306,1501,Audio-only,cot
306,1468,Audio-only,seem
306,925,Audio-only,tip
306,1389,Audio-only,booze
306,1361,Audio-only,couch
306,1309,Audio-only,dire
306,876,Audio-only,dull
306,768,Audio-only,yolk
306,1073,Audio-only,curl
306,1272,Audio-only,sit
306,1235,Audio-only,late
306,1139,Audio-only,mill
306,1067,Audio-only,loud
306,765,Audio-only,cite
306,753,Audio-only,job
306,1146,Audio-only,peeve
306,1319,Audio-only,sip
306,1394,Audio-only,right
306,1163,Audio-only,leaf
306,1040,Audio-only,cage
306,1169,Audio-only,days
306,1381,Audio-only,gig
306,1175,Audio-only,won
306,1660,Audio-only,wed
306,1185,Audio-only,noon
306,807,Audio-only,jug
306,1345,Audio-only,thine
306,1171,Audio-only,shown
306,1324,Audio-only,myth
306,1158,Audio-only,soar
306,1299,Audio-only,deck
306,1052,Audio-only,dog
306,1063,Audio-only,meek
306,1326,Audio-only,wage
306,1035,Audio-only,chase
306,731,Audio-only,peep
306,1276,Audio-only,fudge
306,962,Audio-only,song
306,752,Audio-only,roof
306,1142,Audio-only,calm
306,1369,Audio-only,sash
306,1491,Audio-only,beat
306,1445,Audio-only,hiss
306,1162,Audio-only,these
306,1440,Audio-only,jam
306,1059,Audio-only,dim
306,1320,Audio-only,babe
306,1090,Audio-only,toil
306,1172,Audio-only,lied
306,1386,Audio-only,sod
306,1624,Audio-only,room
306,1081,Audio-only,young
306,1095,Audio-only,kale
306,1525,Audio-only,gag
306,1045,Audio-only,shut
306,1414,Audio-only,hut
306,1590,Audio-only,teach
306,1869,Audio-only,not
306,1264,Audio-only,tag
306,1152,Audio-only,gal
306,1802,Audio-only,rash
306,1031,Audio-only,folk
306,1522,Audio-only,roach
306,1252,Audio-only,those
306,1026,Audio-only,nerve
306,1706,Audio-only,budge
306,1024,Audio-only,chin
306,844,Audio-only,hip
306,1431,Audio-only,pile
306,1332,Audio-only,rake
306,975,Audio-only,give
306,1602,Audio-only,rib
306,1540,Audio-only,will
306,1473,Audio-only,kid
306,1653,Audio-only,gang
306,1015,Audio-only,dodge
306,1151,Audio-only,lad
306,1219,Audio-only,pet
306,1206,Audio-only,sage
306,1240,Audio-only,wipe
306,1345,Audio-only,cone
306,1662,Audio-only,tough
306,1498,Audio-only,juke
306,802,Audio-only,jowl
306,1313,Audio-only,sown
306,1390,Audio-only,hive
306,1922,Audio-only,take
306,1428,Audio-only,perch
306,993,Audio-only,jeer
306,1373,Audio-only,hid
306,841,Audio-only,year
306,1098,Audio-only,thin
306,948,Audio-only,mail
306,904,Audio-only,rise
306,841,Audio-only,hear
306,722,Audio-only,fight
306,915,Audio-only,pass
306,855,Audio-only,men
306,634,Audio-only,death
306,858,Audio-only,poise
306,766,Audio-only,big
306,1066,Audio-only,ties
306,649,Audio-only,pout
306,846,Audio-only,foul
306,871,Audio-only,tell
306,779,Audio-only,vet
306,1047,Audio-only,fire
306,904,Audio-only,but
306,905,Audio-only,lime
306,1238,Audio-only,lob
306,702,Audio-only,hush
306,933,Audio-only,wrath
306,1136,Audio-only,gab
306,1122,Audio-only,hill
306,757,Audio-only,sing
306,690,Audio-only,hate
306,965,Audio-only,lore
306,879,Audio-only,ledge
306,952,Audio-only,dive
306,778,Audio-only,ghoul
306,632,Audio-only,base
306,987,Audio-only,verse
306,908,Audio-only,louse
306,979,Audio-only,bog
306,1107,Audio-only,voice
306,796,Audio-only,let
306,1140,Audio-only,fern
306,902,Audio-only,hack
306,663,Audio-only,gem
306,1103,Audio-only,shop
306,973,Audio-only,shin
306,635,Audio-only,bud
306,720,Audio-only,pick
306,1005,Audio-only,shook
306,986,Audio-only,peak
306,968,Audio-only,fief
306,1028,Audio-only,rude
306,953,Audio-only,dock
306,599,Audio-only,load
306,992,Audio-only,burp
306,894,Audio-only,south
306,855,Audio-only,worth
306,654,Audio-only,cheap
306,1002,Audio-only,neat
306,1012,Audio-only,ring
306,912,Audio-only,hat
306,1095,Audio-only,rogue
306,881,Audio-only,ball
306,847,Audio-only,putt
306,1343,Audio-only,jewel
306,1034,Audio-only,hurt
306,569,Audio-only,bus
306,1228,Audio-only,lug
306,954,Audio-only,tap
306,1004,Audio-only,yam
306,746,Audio-only,cup
306,981,Audio-only,tar
306,905,Audio-only,pop
306,933,Audio-only,gnat
306,1174,Audio-only,save
306,1031,Audio-only,pup
306,986,Audio-only,ran
306,1036,Audio-only,dip
306,821,Audio-only,doug
306,1113,Audio-only,head
306,994,Audio-only,use
306,903,Audio-only,bag
306,697,Audio-only,coat
306,989,Audio-only,maim
306,724,Audio-only,curt
306,723,Audio-only,douse
306,796,Audio-only,tall
306,937,Audio-only,caught
306,1264,Audio-only,math
306,1017,Audio-only,bit
306,975,Audio-only,fame
306,750,Audio-only,pan
306,725,Audio-only,moth
306,974,Audio-only,gnome
306,918,Audio-only,might
306,770,Audio-only,chair
306,801,Audio-only,fed
306,545,Audio-only,beg
306,911,Audio-only,peace
306,770,Audio-only,gall
306,999,Audio-only,peach
306,950,Audio-only,their
306,1011,Audio-only,jail
306,1006,Audio-only,sauce
306,1116,Audio-only,veal
306,797,Audio-only,web
306,1242,Audio-only,safe
306,704,Audio-only,tote
306,575,Audio-only,fuzz
306,561,Audio-only,cease
306,973,Audio-only,maze
306,927,Audio-only,tail
306,870,Audio-only,home
306,553,Audio-only,vane
306,882,Audio-only,war
306,670,Audio-only,get
306,654,Audio-only,verge
306,996,Audio-only,shack
306,1003,Audio-only,rack
306,875,Audio-only,gown
306,1096,Audio-only,catch
306,1265,Audio-only,gob
306,968,Audio-only,yak
306,919,Audio-only,rich
306,946,Audio-only,goof
306,921,Audio-only,jar
306,1136,Audio-only,nape
307,1827,Audio-only,bane
307,1326,Audio-only,muff
307,1308,Audio-only,puff
