"subID","load","terrain","fatigue","speed"
"S17","Heavy","Flat","Post",0.962
"S17","Heavy","Uneven","Pre",0.997
"S17","Heavy","Uneven","Post",1.009
"S17","Heavy","Stairs","Pre",0.791
"S17","Heavy","Stairs","Post",0.534
"S18","Light","Flat","Pre",1.271
"S18","Light","Flat","Post",1.161
"S18","Light","Uneven","Pre",1.017
"S18","Light","Uneven","Post",1.088
"S18","Light","Stairs","Pre",1.121
"S18","Light","Stairs","Post",0.996
"S18","Heavy","Flat","Pre",1.025
"S18","Heavy","Flat","Post",1.063
"S18","Heavy","Uneven","Pre",0.893
"S18","Heavy","Uneven","Post",0.991
"S18","Heavy","Stairs","Pre",0.739
"S18","Heavy","Stairs","Post",0.778
"S19","Light","Flat","Pre",1.212
"S19","Light","Flat","Post",1.292
"S19","Light","Uneven","Pre",1.16
"S19","Light","Uneven","Post",1.085
"S19","Light","Stairs","Pre",1.013
"S19","Light","Stairs","Post",1.011
"S19","Heavy","Flat","Pre",1.209
"S19","Heavy","Flat","Post",1.129
"S19","Heavy","Uneven","Pre",1.085
"S19","Heavy","Uneven","Post",1.012
"S19","Heavy","Stairs","Pre",0.71
"S19","Heavy","Stairs","Post",0.801
"S20","Light","Flat","Pre",1.274
"S20","Light","Flat","Post",1.175
"S20","Light","Uneven","Pre",1.214
"S20","Light","Uneven","Post",1.086
"S20","Light","Stairs","Pre",0.96
"S20","Light","Stairs","Post",0.756
"S20","Heavy","Flat","Pre",1.123
"S20","Heavy","Flat","Post",1.026
"S20","Heavy","Uneven","Pre",0.945
"S20","Heavy","Uneven","Post",0.983
"S20","Heavy","Stairs","Pre",0.664
"S20","Heavy","Stairs","Post",0.553
"S21","Light","Flat","Pre",1.482
"S21","Light","Flat","Post",1.312
"S21","Light","Uneven","Pre",1.416
"S21","Light","Uneven","Post",1.352
"S21","Light","Stairs","Pre",1.282
"S21","Light","Stairs","Post",1.36
"S21","Heavy","Flat","Pre",1.405
"S21","Heavy","Flat","Post",1.112
"S21","Heavy","Uneven","Pre",1.154
"S21","Heavy","Uneven","Post",0.95
"S21","Heavy","Stairs","Pre",1.133
"S21","Heavy","Stairs","Post",1.031
"S22","Light","Flat","Pre",1.383
"S22","Light","Flat","Post",1.195
"S22","Light","Uneven","Pre",1.2
"S22","Light","Uneven","Post",1.063
"S22","Light","Stairs","Pre",1.071
"S22","Light","Stairs","Post",0.978
"S22","Heavy","Flat","Pre",1.134
"S22","Heavy","Flat","Post",0.851
"S22","Heavy","Uneven","Pre",0.844
"S22","Heavy","Uneven","Post",0.674
"S22","Heavy","Stairs","Pre",0.774
"S22","Heavy","Stairs","Post",0.593
"S23","Light","Flat","Pre",1.193
"S23","Light","Flat","Post",1.198
"S23","Light","Uneven","Pre",1.172
"S23","Light","Uneven","Post",1.1
"S23","Light","Stairs","Pre",1.06
"S23","Light","Stairs","Post",0.928
"S23","Heavy","Flat","Pre",1.125
"S23","Heavy","Flat","Post",1.043
"S23","Heavy","Uneven","Pre",1.037
"S23","Heavy","Uneven","Post",0.92
"S23","Heavy","Stairs","Pre",0.823
"S23","Heavy","Stairs","Post",0.758
"S24","Light","Flat","Pre",1.321
"S24","Light","Flat","Post",1.232
"S24","Light","Uneven","Pre",1.282
"S24","Light","Uneven","Post",1.037
"S24","Light","Stairs","Pre",1.033
"S24","Light","Stairs","Post",1.031
"S24","Heavy","Flat","Pre",1.114
"S24","Heavy","Flat","Post",0.943
"S24","Heavy","Uneven","Pre",0.927
"S24","Heavy","Uneven","Post",0.925
"S24","Heavy","Stairs","Pre",0.738
"S24","Heavy","Stairs","Post",0.768
"S25","Light","Flat","Pre",1.279
"S25","Light","Flat","Post",1.204
"S25","Light","Uneven","Pre",1.123
"S25","Light","Uneven","Post",1.101
"S25","Light","Stairs","Pre",0.93
"S25","Light","Stairs","Post",0.903
"S25","Heavy","Flat","Pre",1.229
"S25","Heavy","Flat","Post",1.168
"S25","Heavy","Uneven","Pre",0.935
"S25","Heavy","Uneven","Post",0.725
"S25","Heavy","Stairs","Pre",0.839
"S25","Heavy","Stairs","Post",0.657
"S26","Light","Flat","Pre",1.315
"S26","Light","Flat","Post",1.198
"S26","Light","Uneven","Pre",1.201
"S26","Light","Uneven","Post",1.155
"S26","Light","Stairs","Pre",1.048
"S26","Light","Stairs","Post",1.038
"S26","Heavy","Flat","Pre",1.376
"S26","Heavy","Flat","Post",1.093
"S26","Heavy","Uneven","Pre",1.044
"S26","Heavy","Uneven","Post",0.777
"S26","Heavy","Stairs","Pre",1.041
"S26","Heavy","Stairs","Post",0.755
"S27","Light","Flat","Pre",1.563
"S27","Light","Flat","Post",1.396
"S27","Light","Uneven","Pre",1.287
"S27","Light","Uneven","Post",1.266
"S27","Light","Stairs","Pre",1.028
"S27","Light","Stairs","Post",0.965
"S27","Heavy","Flat","Pre",1.354
"S27","Heavy","Flat","Post",1.424
"S27","Heavy","Uneven","Pre",1.202
"S27","Heavy","Uneven","Post",1.088
"S27","Heavy","Stairs","Pre",0.825
"S27","Heavy","Stairs","Post",0.791
"S28","Light","Flat","Pre",1.401
"S28","Light","Flat","Post",1.445
"S28","Light","Uneven","Pre",1.264
"S28","Light","Uneven","Post",1.082
"S28","Light","Stairs","Pre",1.093
"S28","Light","Stairs","Post",1.167
"S28","Heavy","Flat","Pre",1.187
"S28","Heavy","Flat","Post",1.084
"S28","Heavy","Uneven","Pre",1.142
"S28","Heavy","Uneven","Post",0.852
"S28","Heavy","Stairs","Pre",0.983
"S28","Heavy","Stairs","Post",0.928
"S29","Light","Flat","Pre",1.359
"S29","Light","Flat","Post",1.274
"S29","Light","Uneven","Pre",1.06
"S29","Light","Uneven","Post",1.097
"S29","Light","Stairs","Pre",1.048
"S29","Light","Stairs","Post",0.784
"S29","Heavy","Flat","Pre",1.301
"S29","Heavy","Flat","Post",1.294
"S29","Heavy","Uneven","Pre",1.106
"S29","Heavy","Uneven","Post",1.05
"S29","Heavy","Stairs","Pre",0.768
"S29","Heavy","Stairs","Post",0.708
"S30","Light","Flat","Pre",1.305
"S30","Light","Flat","Post",1.267
"S30","Light","Uneven","Pre",1.101
"S30","Light","Uneven","Post",1.098
"S30","Light","Stairs","Pre",1.208
"S30","Light","Stairs","Post",1.026
"S30","Heavy","Flat","Pre",1.197
"S30","Heavy","Flat","Post",1.088
"S30","Heavy","Uneven","Pre",1.082
"S30","Heavy","Uneven","Post",0.943
"S30","Heavy","Stairs","Pre",0.863
"S30","Heavy","Stairs","Post",0.686
"S31","Light","Flat","Pre",1.347
"S31","Light","Flat","Post",1.303
"S31","Light","Uneven","Pre",1.257
"S31","Light","Uneven","Post",1.179
"S31","Light","Stairs","Pre",1.065
"S31","Light","Stairs","Post",1.062
"S31","Heavy","Flat","Pre",1.281
"S31","Heavy","Flat","Post",1.044
"S31","Heavy","Uneven","Pre",1.03
"S31","Heavy","Uneven","Post",0.889
"S31","Heavy","Stairs","Pre",0.76
"S31","Heavy","Stairs","Post",0.534
"S32","Light","Flat","Pre",1.428
"S32","Light","Flat","Post",1.445
"S32","Light","Uneven","Pre",1.204
"S32","Light","Uneven","Post",1.237
"S32","Light","Stairs","Pre",1.083
"S32","Light","Stairs","Post",0.911
"S32","Heavy","Flat","Pre",1.391
"S32","Heavy","Flat","Post",1.104
"S32","Heavy","Uneven","Pre",1.094
"S32","Heavy","Uneven","Post",0.98
"S32","Heavy","Stairs","Pre",0.761
"S32","Heavy","Stairs","Post",0.556
